		NNPDF40_nnlo_as_01180_shift	NNPDF40_nnlo_as_01180_shift
		ndata	$\chi^2/ndata$
group	dataset		
DEUTERON	NMCPD_sh_ite	121	0.9071212006758457
DEUTERON	SLACP_dwsh	33	0.9771955598016511
DEUTERON	SLACD_sh_ite	34	0.7890934476369749
DEUTERON	BCDMSP_dwsh	333	1.4189766529825858
DEUTERON	BCDMSD_sh_ite	248	1.0283413129842969
DEUTERON	DYE886R_sh_ite	15	0.631548107337257
DEUTERON	DYE906R_sh_ite	6	0.4274196384894644
NMC	NMC	204	1.5601800651473507
NUCLEAR	CHORUSNUPb_sh_ite	416	1.060414399428867
NUCLEAR	CHORUSNBPb_sh_ite	416	0.7553977682187569
NUCLEAR	NTVNUDMNFe_sh_ite	39	0.2773809915111339
NUCLEAR	NTVNBDMNFe_sh_ite	37	0.4438764677540246
NUCLEAR	DYE605_sh_ite	85	0.4540027928986475
HERACOMB	HERACOMBNCEM	159	1.4013078025118892
HERACOMB	HERACOMBNCEP460	204	1.0784478508952606
HERACOMB	HERACOMBNCEP575	254	0.9012459909865831
HERACOMB	HERACOMBNCEP820	70	1.0946611000507112
HERACOMB	HERACOMBNCEP920	377	1.2856113400597002
HERACOMB	HERACOMBCCEM	42	1.2477268554687053
HERACOMB	HERACOMBCCEP	39	1.2510690598869296
HERACOMB	HERACOMB_SIGMARED_C	37	2.037499311427789
HERACOMB	HERACOMB_SIGMARED_B	26	1.4264025672733283
DYE886	DYE886P	89	1.5694816012874973
CDF	CDFZRAP_NEW	28	1.2953157453525679
D0	D0ZRAP_40	28	0.6368722432609969
D0	D0WMASY	9	2.351670467650913
ATLAS	ATLASWZRAP36PB	30	1.000192360917495
ATLAS	ATLASZHIGHMASS49FB	5	1.6613472005380268
ATLAS	ATLASLOMASSDY11EXT	6	0.8831923936637125
ATLAS	ATLASWZRAP11CC	46	1.9161565144813746
ATLAS	ATLASWZRAP11CF	15	1.009548063461328
ATLAS	ATLASDY2D8TEV	48	1.1245280176909402
ATLAS	ATLAS_DY_2D_8TEV_LOWMASS	60	1.2355125883910782
ATLAS	ATLAS_WZ_TOT_13TEV	3	0.7176024009452681
ATLAS	ATLAS_WP_JET_8TEV_PT	15	0.7787385149213065
ATLAS	ATLAS_WM_JET_8TEV_PT	15	1.4819602541622745
ATLAS	ATLASZPT8TEVMDIST	44	1.5207287831203997
ATLAS	ATLASZPT8TEVYDIST	48	0.8843299122470692
ATLAS	ATLASTTBARTOT7TEV	1	4.403717000782676
ATLAS	ATLASTTBARTOT8TEV	1	0.013044424467450475
ATLAS	ATLAS_TTBARTOT_13TEV_FULLLUMI	1	0.45866507381206456
ATLAS	ATLAS_TTB_DIFF_8TEV_LJ_TRAPNORM	4	3.148959570659258
ATLAS	ATLAS_TTB_DIFF_8TEV_LJ_TTRAPNORM	4	3.849496454958465
ATLAS	ATLAS_TOPDIFF_DILEPT_8TEV_TTRAPNORM	5	1.6582991335582409
ATLAS	ATLAS_1JET_8TEV_R06_DEC	171	0.6921220001868296
ATLAS	ATLAS_2JET_7TEV_R06	90	2.139651470914207
ATLAS	ATLASPHT15_SF	53	0.750487479630435
ATLAS	ATLAS_SINGLETOP_TCH_R_7TEV	1	0.5244150860570465
ATLAS	ATLAS_SINGLETOP_TCH_R_13TEV	1	0.06630800419588737
ATLAS	ATLAS_SINGLETOP_TCH_DIFF_7TEV_T_RAP_NORM	3	0.9616475509510969
ATLAS	ATLAS_SINGLETOP_TCH_DIFF_7TEV_TBAR_RAP_NORM	3	0.06192658772214166
ATLAS	ATLAS_SINGLETOP_TCH_DIFF_8TEV_T_RAP_NORM	3	0.24321909897166752
ATLAS	ATLAS_SINGLETOP_TCH_DIFF_8TEV_TBAR_RAP_NORM	3	0.18843581689479683
CMS	CMSWEASY840PB	11	0.886111720776205
CMS	CMSWMASY47FB	11	1.7232816265412454
CMS	CMSDY2D11	110	1.3487222200822684
CMS	CMSWMU8TEV	22	1.3488322908723644
CMS	CMSZDIFF12	28	1.403472489626847
CMS	CMS_2JET_7TEV	54	1.8205939635901673
CMS	CMS_1JET_8TEV	185	1.1875728191514203
CMS	CMSTTBARTOT7TEV	1	0.9561762079249804
CMS	CMSTTBARTOT8TEV	1	0.2134444813867929
CMS	CMSTTBARTOT13TEV	1	0.07479200718314728
CMS	CMSTOPDIFF8TEVTTRAPNORM	9	1.1935811832738656
CMS	CMSTTBARTOT5TEV	1	0.521498506439758
CMS	CMS_TTBAR_2D_DIFF_MTT_TRAP_NORM	16	1.0444422169240815
CMS	CMS_TTB_DIFF_13TEV_2016_2L_TRAP	10	0.5099185846781003
CMS	CMS_TTB_DIFF_13TEV_2016_LJ_TRAP	11	0.6256452172595993
CMS	CMS_SINGLETOP_TCH_TOT_7TEV	1	0.7209541063528396
CMS	CMS_SINGLETOP_TCH_R_8TEV	1	0.18718896913685978
CMS	CMS_SINGLETOP_TCH_R_13TEV	1	0.36636348132377244
LHCb	LHCBZ940PB	9	1.5573088769071952
LHCb	LHCBZEE2FB_40	17	1.2974565362491628
LHCb	LHCBWZMU7TEV	29	1.9658267735408719
LHCb	LHCBWZMU8TEV	30	1.4460938836111084
LHCb	LHCB_Z_13TEV_DIMUON	16	0.9134429780445691
LHCb	LHCB_Z_13TEV_DIELECTRON	15	1.6806316303568563
