		NNPDF40_nnlo_as_01180_1000	NNPDF40_nnlo_as_01180_1000
		ndata	$\chi^2/ndata$
group	dataset		
DEUTERON	NMCPD_dw_ite	121	0.8720597010339123
DEUTERON	SLACP_dwsh	33	0.9538670654278071
DEUTERON	SLACD_dw_ite	34	0.623177033027702
DEUTERON	BCDMSP_dwsh	333	1.4121015121847287
DEUTERON	BCDMSD_dw_ite	248	1.0150595065016863
DEUTERON	DYE886R_dw_ite	15	0.5319302053088434
DEUTERON	DYE906R_dw_ite	6	0.8674352110578575
NMC	NMC	204	1.5641665700501017
NUCLEAR	CHORUSNUPb_dw_ite	416	0.9559085453824513
NUCLEAR	CHORUSNBPb_dw_ite	416	0.867837176274485
NUCLEAR	NTVNUDMNFe_dw_ite	39	0.33330980195152676
NUCLEAR	NTVNBDMNFe_dw_ite	37	0.5527787101612388
NUCLEAR	DYE605_dw_ite	85	0.45618149295111965
HERACOMB	HERACOMBNCEM	159	1.399161491182049
HERACOMB	HERACOMBNCEP460	204	1.076461041187203
HERACOMB	HERACOMBNCEP575	254	0.904109283832358
HERACOMB	HERACOMBNCEP820	70	1.0865239549603876
HERACOMB	HERACOMBNCEP920	377	1.293410453520952
HERACOMB	HERACOMBCCEM	42	1.2495462791007579
HERACOMB	HERACOMBCCEP	39	1.2352904556748066
HERACOMB	HERACOMB_SIGMARED_C	37	2.027344747409724
HERACOMB	HERACOMB_SIGMARED_B	26	1.4303784397082993
DYE886	DYE886P	89	1.558711146743831
CDF	CDFZRAP_NEW	28	1.2790514026483695
D0	D0ZRAP_40	28	0.6444910498149058
D0	D0WMASY	9	1.9243815548660166
ATLAS	ATLASWZRAP36PB	30	0.9864922419852772
ATLAS	ATLASZHIGHMASS49FB	5	1.6912999170443181
ATLAS	ATLASLOMASSDY11EXT	6	0.878194334936032
ATLAS	ATLASWZRAP11CC	46	1.9008513878254047
ATLAS	ATLASWZRAP11CF	15	1.038265509752565
ATLAS	ATLASDY2D8TEV	48	1.110428381694846
ATLAS	ATLAS_DY_2D_8TEV_LOWMASS	60	5.899584006368297e+62
ATLAS	ATLAS_WZ_TOT_13TEV	3	0.7782140375409297
ATLAS	ATLAS_WP_JET_8TEV_PT	15	0.7909186584024489
ATLAS	ATLAS_WM_JET_8TEV_PT	15	1.4883524559371477
ATLAS	ATLASZPT8TEVMDIST	44	0.9053767067346079
ATLAS	ATLASZPT8TEVYDIST	48	0.8973466449958568
ATLAS	ATLASTTBARTOT7TEV	1	4.539405986317483
ATLAS	ATLASTTBARTOT8TEV	1	0.02074140592154981
ATLAS	ATLAS_TTBARTOT_13TEV_FULLLUMI	1	0.4919100169548558
ATLAS	ATLAS_TTB_DIFF_8TEV_LJ_TRAPNORM	4	3.216154820169616
ATLAS	ATLAS_TTB_DIFF_8TEV_LJ_TTRAPNORM	4	3.723359209576561
ATLAS	ATLAS_TOPDIFF_DILEPT_8TEV_TTRAPNORM	5	1.5986047910469554
ATLAS	ATLAS_1JET_8TEV_R06_DEC	171	0.6866536996339988
ATLAS	ATLAS_2JET_7TEV_R06	90	2.1490020344796728
ATLAS	ATLASPHT15_SF	53	0.7624473089345677
ATLAS	ATLAS_SINGLETOP_TCH_R_7TEV	1	0.49548293128374304
ATLAS	ATLAS_SINGLETOP_TCH_R_13TEV	1	0.06208812317976153
ATLAS	ATLAS_SINGLETOP_TCH_DIFF_7TEV_T_RAP_NORM	3	0.9589527265232304
ATLAS	ATLAS_SINGLETOP_TCH_DIFF_7TEV_TBAR_RAP_NORM	3	0.06173244566850292
ATLAS	ATLAS_SINGLETOP_TCH_DIFF_8TEV_T_RAP_NORM	3	0.24595561070588157
ATLAS	ATLAS_SINGLETOP_TCH_DIFF_8TEV_TBAR_RAP_NORM	3	0.18955219380356722
CMS	CMSWEASY840PB	11	0.8337790475165324
CMS	CMSWMASY47FB	11	1.7126247171903786
CMS	CMSDY2D11	110	1.3621274101720737
CMS	CMSWMU8TEV	22	1.360261806332985
CMS	CMSZDIFF12	28	1.4007455796514685
CMS	CMS_2JET_7TEV	54	1.8107342635044221
CMS	CMS_1JET_8TEV	185	1.1833639050279539
CMS	CMSTTBARTOT7TEV	1	1.031299642925082
CMS	CMSTTBARTOT8TEV	1	0.24691436172483922
CMS	CMSTTBARTOT13TEV	1	0.06348537121926776
CMS	CMSTOPDIFF8TEVTTRAPNORM	9	1.2440812561006052
CMS	CMSTTBARTOT5TEV	1	0.5419423669358352
CMS	CMS_TTBAR_2D_DIFF_MTT_TRAP_NORM	16	1.0262256777398724
CMS	CMS_TTB_DIFF_13TEV_2016_2L_TRAP	10	0.5166466374613948
CMS	CMS_TTB_DIFF_13TEV_2016_LJ_TRAP	11	0.6233554728729264
CMS	CMS_SINGLETOP_TCH_TOT_7TEV	1	0.7293661060785886
CMS	CMS_SINGLETOP_TCH_R_8TEV	1	0.17495309179485924
CMS	CMS_SINGLETOP_TCH_R_13TEV	1	0.3577551015214373
LHCb	LHCBZ940PB	9	1.6490810831254754
LHCb	LHCBZEE2FB_40	17	1.32467558282127
LHCb	LHCBWZMU7TEV	29	1.9463146579545516
LHCb	LHCBWZMU8TEV	30	1.424406748642706
LHCb	LHCB_Z_13TEV_DIMUON	16	0.9927725676553932
LHCb	LHCB_Z_13TEV_DIELECTRON	15	1.7259784806796992
